Time	Channel A	Channel B	Channel C	Channel D
(us)	(V)	(V)	(V)	(V)

-7.61599965	-0.00726341	-0.00015259	0.00357067	-0.00051881
-7.60799965	-0.00537126	-0.00234993	0.00146489	-0.00201422
-7.59999965	-0.00225837	-0.00259407	0.00146489	-0.00225837
-7.59199965	-0.00451674	-0.00027467	0.00158696	-0.00064089
-7.58399965	-0.00549333	0.00048830	0.00259407	-0.00213630
-7.57599965	-0.00549333	-0.00149541	0.00024415	-0.00076296
-7.56799965	-0.00225837	-0.00149541	-0.00347911	-0.00161748
-7.55999965	-0.00451674	0.00256356	-0.00173956	0.00247200
-7.55199965	-0.00137333	-0.00299081	0.00195319	0.00024415
-7.54399965	-0.00314341	-0.00433363	0.00146489	0.00012207
-7.53599965	-0.00213630	0.00085452	-0.00051881	0.00198370
-7.52799965	-0.00274667	-0.00299081	-0.00323496	0.00170904
-7.51999965	-0.00451674	-0.00112919	0.00000000	-0.00149541
-7.51199965	-0.00512711	-0.00247200	0.00207526	-0.00238044
-7.50399965	-0.00213630	0.00146489	0.00122074	-0.00015259
-7.49599965	-0.00289926	-0.00506607	-0.00646992	0.00271615
-7.48799965	-0.00189215	-0.00347911	-0.00436415	-0.00225837
-7.47999965	-0.00387585	0.00158696	0.00369274	-0.00274667
-7.47199965	-0.00225837	-0.00015259	0.00643941	-0.00201422
-7.46399965	-0.00250252	-0.00384533	0.00073244	-0.00039674
-7.45599965	-0.00900296	-0.00088504	-0.00186163	-0.00225837
-7.44799965	-0.00262459	-0.00198370	-0.00015259	0.00308237
-7.43999965	-0.00152593	0.00036622	-0.00039674	0.00384533
-7.43199965	-0.00326548	0.00061037	0.00247200	-0.00485244
-7.42399965	-0.00399793	0.00036622	-0.00286874	-0.00015259
-7.41599965	-0.00189215	-0.00100711	-0.00137333	0.00061037
-7.40799965	-0.00314341	-0.00234993	-0.00112919	-0.00112919
-7.39999965	-0.00613422	0.00097659	-0.00186163	0.00024415
-7.39199965	-0.00326548	0.00244148	-0.00198370	-0.00027467
-7.38399965	-0.00100711	-0.00323496	-0.00125126	-0.00238044
-7.37599965	-0.00363170	-0.00125126	-0.00100711	0.00036622
-7.36799965	-0.00015259	-0.00112919	0.00000000	0.00036622
-7.35999965	-0.00701926	-0.00149541	-0.00088504	0.00222785
-7.35199965	-0.00201422	-0.00064089	0.00122074	-0.00088504
